[size=4][b]Flake [AltLo1][/B][/SIZE][spoiler=Show AltLo1 Orbits][code]

              Altitude                Inc.       Orbital   Time to Scan          Eff.  Swath  Resolution
  UEQx Sidelap  Ideal     +/- Error               Period      Total    +/- Error  FOV   Width (deg)   (km)
====================================================================================================================
    59    26 (1.10)   17.090 km +/- 0.01 km (0.00°)  42h 25.3m   551h 28.4m +/- 20.8m (1.8°)  15 m (0.08°) 2.66 m
    61    27 (1.13)   17.018 km +/- 0.01 km (0.00°)  42h 10.9m   569h 26.8m +/- 25.6m (1.8°)  15 m (0.08°) 2.64 m
    65    29 (1.20)   16.889 km +/- 0.01 km (0.00°)  41h 45.2m   605h 24.9m +/- 23.1m (1.8°)  15 m (0.07°) 2.60 m
    56    25 (1.03)   16.878 km +/- 0.01 km (0.00°)  41h 42.8m   521h 24.7m +/- 28.6m (1.8°)  15 m (0.07°) 2.59 m
    67    30 (1.23)   16.831 km +/- 0.01 km (0.00°)  41h 33.8m   623h 27.4m +/- 17.9m (1.7°)  15 m (0.07°) 2.58 m
    64    29 (1.16)   16.639 km +/- 0.01 km (0.00°)  40h 55.7m   593h 27.4m +/- 22.9m (1.7°)  14 m (0.07°) 2.52 m
    68    31 (1.23)   16.541 km +/- 0.01 km (0.00°)  40h 36.4m   629h 24.7m +/- 21.4m (1.7°)  14 m (0.07°) 2.49 m
    57    26 (1.03)   16.532 km +/- 0.01 km (0.00°)  40h 34.3m   527h 25.4m +/- 26.9m (1.7°)  14 m (0.07°) 2.49 m
    59    27 (1.06)   16.480 km +/- 0.01 km (0.00°)  40h 24.3m   545h 28.3m +/- 21.3m (1.7°)  14 m (0.07°) 2.47 m
    61    28 (1.09)   16.432 km +/- 0.01 km (0.00°)  40h 15.0m   563h 29.6m +/- 19.3m (1.7°)  14 m (0.07°) 2.46 m
    63    29 (1.13)   16.387 km +/- 0.01 km (0.00°)  40h 06.0m   581h 27.5m +/- 24.2m (1.7°)  14 m (0.07°) 2.44 m
    67    31 (1.19)   16.305 km +/- 0.01 km (0.00°)  39h 50.0m   617h 24.3m +/- 22.8m (1.7°)  14 m (0.07°) 2.42 m
    69    32 (1.23)   16.268 km +/- 0.01 km (0.00°)  39h 43.0m   635h 28.1m +/- 15.7m (1.7°)  14 m (0.07°) 2.41 m
    58    27 (1.03)   16.209 km +/- 0.01 km (0.00°)  39h 31.0m   533h 28.2m +/- 26.4m (1.7°)  14 m (0.07°) 2.39 m
    62    29 (1.09)   16.133 km +/- 0.01 km (0.00°)  39h 16.2m   569h 25.6m +/- 22.6m (1.7°)  14 m (0.07°) 2.37 m
    66    31 (1.16)   16.068 km +/- 0.01 km (0.00°)  39h 03.7m   605h 27.1m +/- 22.6m (1.7°)  13 m (0.07°) 2.35 m
    70    33 (1.22)   16.009 km +/- 0.01 km (0.00°)  38h 52.4m   641h 24.6m +/- 19.2m (1.7°)  13 m (0.07°) 2.33 m
